level;object count;objects;oneway object(s);to apply oneway;gravity;rebound;tutorial;obstacle;Obstacle placement
1;3;1,2,3;0;;normal;normal;;;
2;3;1,4,2;0;;normal;normal;;;
3;3;3,5,1;0;;normal;normal;;;
4;3;4,6,3;4;4 - 0;normal;normal;one-way;;
5;3;5,9,10;5;5 - 0;low;normal;;;
6;4;2,4,12,7;2;2 - 2;normal;low;conveyor;;
7;4;7,8,3,5;5,8;"5 - 2 ; 8 - 0,3";high;normal;;;
8;4;5,1,10,9;1;1-1;normal;bouncy;Bouncer;Bouncer ;(80,320)
9;4;4,11,6,3;4,11;"4 - 0; 11 - 0";high;bouncy;;;
10;4;2,8,7,9;2,8,9;"2 - 0,2; 8 - 0,3; 9 - 0,1";low;bouncy;;;
11;4;5,10,3,1;5,10,1;"5 - 0,2; 10 - 6,7; 1 - 1";high;low;;;
12;5;6,11,1,3,4;6,1;"6 - 1,3; 1 - 1";normal;low;;;
13;5;9,7,8,2,5;9,7,8;"9 - 3,4,5; 7 - 1,7; 8 - 1,2";low;low;;;
14;5;10,2,3,4,11;10,2,4,11;"10-1; 2-0,2; 4-1; 11 - 0";high;bouncy;;;
15;5;6,6,4,6,6;6,6,6,6;"6-0; 6-1; 6-2; 6-3";high;low;;;
16;5;4,4,10,4,4;4,4,4,4;"4-0; 4-0; 4-0; 4-0";normal;bouncy;;;
17;5;11,11,5,11,11;11,11,11,11;"11-0; 11-1; 11-2; 11-3";low;low;;;
18;5;9,9,3,9,9;9,9,9,9;"9-0; 9-1; 9-2; 9-3";low;normal;;;
19;5;7,7,7,7,7;7,7,7,7,7;"7-0; 7-1; 7-2; 7-3";high;normal;;;
20;5;11,11,11,11,11;11,11,11,11,11;"11-0; 11-0; 11-0; 11-0; 11-0";high;bouncy;;;
